ASSIST,ADJUVANTE,BASF,Lt
AUREO,ADJUVANTE,BAYER,Lt
F KING,ADJUVANTE,RANKING,Lt
HELPER DESSEK,ADJUVANTE,COMPASS MINERAL,Lt
HELPER NEUTRUM ,ADJUVANTE,COMPASS MINERAL,Lt
IHAROL GOLD,ADJUVANTE,IHARA,Lt
RED,ADJUVANTE,RANKING,Lt
RUMBA,ADJUVANTE,ADAMA,Lt
ZOOM,ADJUVANTE,CROPFIELD,Lt
CALCÁRIO DOLOMITICO,CORRETIVO DE SOLO,TRANSCAL,ton
GESSO,CORRETIVO DE SOLO,AGRONELLI / NUTRION,ton
BURAK,FERTILIZANTE FOLIAR,FASTAGRO,kg
KELLUS MN,FERTILIZANTE FOLIAR,COMPASS MINERAL,Lt
09.46.00+MICRO,FERTILIZANTE FORMULADO,ADM,ton
36.00.12,FERTILIZANTE FORMULADO,MOSAIC,ton
ENXOFRE BETONITA,FERTILIZANTE FORMULADO,FERTIMIG,ton
MAP -2ª S.,FERTILIZANTE FOSFATADO,FERTIPAR,ton
SSP (LANÇO),FERTILIZANTE FOSFATADO,GALVANI,ton
KCL,FERTILIZANTE POTÁSSICO,TOCANTINS,ton
UP! SEEDS,FERTILIZANTE TS,COMPASS MINERAL,Lt
APROACH POWER,FUNGICIDA,CORTEVA,Lt
ATIVUM,FUNGICIDA,BASF,Lt
AUTHORITY,FUNGICIDA,FMC,Lt
BRAVONIL 720,FUNGICIDA,SYNGENTA,Lt
CLOROTALONIL SC,FUNGICIDA,0,Lt
CONTROLLER,FUNGICIDA,CORTEVA,kg
CRONNOS,FUNGICIDA,ADAMA,Lt
CYPRESS,FUNGICIDA,SYNGENTA,Lt
DIFERE,FUNGICIDA,OXIQUÍMICA,Lt
FEZAN GOLD,FUNGICIDA,SIPCAM,Lt
FOX,FUNGICIDA,BAYER,Lt
FUSÃO,FUNGICIDA,IHARA,Lt
PRIORI.XTRA,FUNGICIDA,SYNGENTA,Lt
TEBUCONAZOLE,FUNGICIDA,0,Lt
UNIZEB GOLD,FUNGICIDA,UPL,kg
METARRIL,FUNGICIDA MICROBIOLOGICO TS,KOPPERT,Dose
VITAVAX THIRAN,FUNGICIDA TS,UPL,Lt
ATRAZINA,HERBICIDA,0,Lt
AURORA,HERBICIDA,FMC,Lt
DUAL GOLD ,HERBICIDA,SYNGENTA,Lt
FINALE,HERBICIDA,BASF,Lt
GLIFOSATO 360,HERBICIDA,0,Lt
METSULFURON,HERBICIDA,0,Lt
RAJER,HERBICIDA,CROPCHEM,kg
REGLONE,HERBICIDA,SYNGENTA,Lt
ROUNDUP WG,HERBICIDA,BAYER / AMAGGI,kg
SANSON EVO,HERBICIDA,UPL,Lt
SPIDER,HERBICIDA,CORTEVA,kg
STONE ,HERBICIDA,FMC,Lt
SUMYZIN,HERBICIDA,SUMITOMO,kg
U-46,HERBICIDA,SUMITOMO,Lt
VERDICT MAX,HERBICIDA,CORTEVA,Lt
ZAPHIR,HERBICIDA,UPL,Lt
CLETODIM,HERBICIDA ,0,Lt
INOCULANTE LÍQUIDO,INOCULANTE,AGROCOLHEITA,Dose
CARNADINE,INSETICIDA,SUMITOMO,Lt
CURYON,INSETICIDA,SYNGENTA,Lt
ENGEO PLENO,INSETICIDA,SYNGENTA,Lt
EPINGLE 100,INSETICIDA,SUMITOMO,Lt
EXALT,INSETICIDA,CORTEVA,Lt
EXPEDITION,INSETICIDA,CORTEVA,Lt
HERO,INSETICIDA,FMC,Lt
IMIDACLOPRID 480 SC,INSETICIDA,NORTOX,Lt
KLORPAN,INSETICIDA,SUMITOMO,Lt
LANNATE BR,INSETICIDA,CORTEVA,Lt
NOMOLT,INSETICIDA,BASF,Lt
PERITO,INSETICIDA,UPL,kg
PREMIO,INSETICIDA,FMC,Lt
SPERTO,INSETICIDA,UPL,kg
TALISMAN,INSETICIDA,FMC,Lt
TRIGGER,INSETICIDA,0,Lt
WILD,INSETICIDA,ALBAUGH,Lt
ZEUS,INSETICIDA,IHARA,Lt
ARMIGEN,INSETICIDA BIOLÓGICO,AGBITECH,Lt
CRYSOGEN,INSETICIDA BIOLÓGICO,AGBITECH,Lt
VIRCONTROL,INSETICIDA BIOLÓGICO,SIMBIOSE,KG
CRUISER,INSETICIDA TS,SYNGENTA,Lt
FORTENZA,INSETICIDA TS,SYNGENTA,Lt
IMIDA TS,INSETICIDA TS,ROTAM,Lt
BIOLÓGICO MULT.,NEMATICIDA MICROBIOLOGICO,0,Dose
PRESENCE,NEMATICIDA MICROBIOLOGICO,FMC,Dose
BRAQ RUZIZIENSES,SEMENTE BRAQUIÁRIA,AGROCOLHEITA,kg
BRS PIATÃ,SEMENTE BRAQUIÁRIA,0,kg
BRS ZURI,SEMENTE BRAQUIÁRIA,0,kg
ADR 500,SEMENTE MILHETO,FAZENDA,kg
DKB 360 PRO3,SEMENTE MILHO,0,kg
P3707 VYH,SEMENTE MILHO,0,kg
P3898,SEMENTE MILHO,0,kg
BMX BONUS IPRO,SEMENTE SOJA,SEM. TROPICAL,mm
BMX DESAFIO RR,SEMENTE SOJA,0,mm
BMX FOCO IPRO,SEMENTE SOJA,SEM. TROPICAL,mm
BMX FOCO IPRO -AJ,SEMENTE SOJA,SEM. GIRASSOL,mm
BMX OLIMPO IPRO,SEMENTE SOJA,SEM. TROPICAL,mm
DM 75i74 IPRO,SEMENTE SOJA,UNIGGEL,mm
NS 7670 RR,SEMENTE SOJA,NIDERA,kg
TMG 2381 IPRO,SEMENTE SOJA,SEM. TROPICAL,mm
